rkd_term,aat_id,aat_labels,broader_terms
north netherlandish,300386470,noord-nederlands; noordelijke nederlanden; north netherlandish,"european regions; europese landstreken; lage landen; low country; lowland; nederlanden; nederlanden, de; nederlands; netherlandian; netherlandic; netherlandish; regions, european"
draftsperson,300112172,draftsman; draftsman's; draftsmen; draftsmen's; draftsperson; draftspersons; draftswoman; draftswomen; draughtsman; draughtsmen; draughtswoman; draughtswomen; tekenaar; tekenaars,artist; artist's; artists; artists by medium or work type; artists'; kunstenaar; kunstenaars; kunstenaars naar medium of werksoort
sculptor,300025181,beeldhouwer; beeldhouwers; sculpteur; sculpteurs; sculptor; sculptor's; sculptors; sculptors',artist; artist's; artists; artists by medium or work type; artists'; kunstenaar; kunstenaars; kunstenaars naar medium of werksoort
fashion designer,300025198,"clothes designers; couturiers; designers, clothes; designers, dress; designers, fashion; dress designers; fashion designer; fashion designer's; fashion designers; fashion designers'; modeontwerper; modeontwerpers",designer; designer's; designers; designers'; ontwerper; ontwerpers; people in the visual arts; personen in de visuele kunsten
belgian,300111156,belgian; belgisch,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
hungarian,300111195,hongaars; hungarian,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
south netherlandish,300386537,"netherlandish, south; south netherlandish; zuid-nederlands","european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
lebanese,300266824,lebanese; libanees,asian; aziatisch; oriental; west asian; west-aziatisch; western asian
medalist,300025337,medailleur; medailleurs; medalist; medalist's; medalists; medalists'; medallist; medallists,"metaalbewerkers; metaalwerker; metaalwerker naar product; metaalwerkers; metaalwerkers naar product; metal smiths; metal-worker; metal-workers; metalsmith; metalsmiths; metalworker; metalworker's; metalworkers; metalworkers by product; metalworkers'; smiths; smiths, metal"
austrian,300111153,austrian; oostenrijks,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
scottish,300111212,schots; scotch; scots; scottish,"british; brits; european regions; europese landstreken; regions, european"
swiss,300111221,swiss; zwitsers,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
glass painter,300263758,"glass painter; glass painter's; glass painters; glass painters'; glass-painters; glasschilder; glasschilders; painters, glass","kunstschilder; kunstschilders; painter; painter's; painters; painters by technique, implement, or material employed; painters'; schilder; schilder naar techniek, instrument of gebruikt materiaal; schilders; schilders naar techniek, instrument of gebruikt materiaal"
court painter,300435198,"court painter; court painters; hofschilder; hofschilders; painters, court",kunstschilder; kunstschilders; painter; painter's; painters; painters by location or context; painters'; schilder; schilders; schilders naar locatie of context
harbor view,300438829,harbor scene; harbor view; harbor views; havengezicht; havengezichten; port scene,beeldende werken naar onderwerp; beeldmateriaal naar onderwerp; marine; marine art; marine pictures; marine views; marines; seascape; visual works by subject type; zeestuk; zeestukken
ceramicist,300025388,"artist, ceramics; artists, ceramic; ceramic artist; ceramic artists; ceramicist; ceramicist's; ceramicists; ceramicists'; ceramist; ceramisten; ceramists; keramist; keramisten",people in crafts and trades; people in crafts and trades by material; personen in ambachten en beroepen; personen in ambachten en beroepen naar materiaal
